body,size
10805,3216594412
10802,3214869222
10811,3212002707
10812,3209394586
10806,3208199804
10808,3207074648
10807,3205932265
10631,3204954872
10810,3203768816
10826,3203292164
10809,3202694834
10816,3199960369
10820,3197079913
10813,3194424529
10823,3192903071
10819,3190378960
10821,3188180393
10815,3187839338
10825,3185889988
10827,3185734514
10817,3185452575
10818,3184619855
10833,3180164026
10822,3179568888
10839,3179550845
10836,3178868684
10828,3178540453
10824,3178473225
10841,3174450408
10829,3170870859
10832,3170140475
10277,3170091820
10830,3169974584
10837,3168896176
10831,3168402068
10566,3167999282
10838,3167123829
10856,3167103086
10127,3166750216
10834,3165860793
10850,3164178003
10835,3164078292
10846,3162797627
10844,3160719333
10851,3158111823
10845,3157728560
10840,3155604640
10842,3154918536
10849,3154204196
101701,3150598169
10641,3144999515
10847,3144166287
100771,3142806554
10848,3141502677
10866,3139683127
10852,3138916057
10868,3135418826
10853,3134891681
10854,3133431584
10858,3131974018
10874,3130348086
10864,3127591211
10855,3125368770
10862,3125160820
10875,3124667646
10860,3124388996
10857,3123871921
10861,3120695981
10871,3119374374
10885,3118221313
10859,3117606980
10870,3115688476
10873,3112624117
10887,3111616742
10863,3108642751
10867,3108463646
10876,3108054957
10877,3107231601
10865,3106756923
10869,3106516732
10878,3100735663
10581,3100086147
10888,3099218078
10879,3098582744
10872,3098541365
10062,3096906178
10881,3091300359
10299,3090603964
10883,3089238185
10880,3087094011
10889,3085246987
10884,3085047196
10917,3083115844
10882,3082848230
10890,3082600192
10898,3078328037
10886,3077039498
101157,3070677835
10891,3070059741
10892,3068443629
10895,3068001554
10894,3067185125
10908,3065801437
10893,3065307651
10897,3059953681
10899,3058370488
10906,3057233220
10896,3056358116
10900,3054485894
10902,3051013048
10901,3050495358
10905,3044287368
10903,3043821676
10907,3043305003
10914,3042427812
10904,3042116138
10910,3034754432
10928,3033184968
10911,3032669596
10909,3030059237
10915,3029810675
10604,3028277241
10558,3027056784
10920,3026765952
10600,3026575158
10912,3022229395
10913,3021471999
10916,3017950550
10918,3017092458
10923,3015909435
10921,3015717678
10919,3012286385
10927,3009206204
10925,3008951636
10926,3007847093
10936,3007457105
10922,3006747362
10930,3006735965
10944,3006660031
10929,3005649991
10924,3005169215
10939,3000615310
10931,2998298710
10932,2995570514
10935,2994735366
10933,2994655243
10938,2993679359
10934,2992198577
10937,2990491464
10977,2988112614
100855,2988041896
10945,2985755787
10957,2985739841
10952,2984712700
10940,2982022705
10948,2980566702
10956,2979318065
10953,2979085832
10942,2978536930
