new_body,orig_body,size
10630,841369734637,3617803872
10631,1689656067,3617652914
10632,23123766072,3617062402
10633,23915544297,3613320752
10634,18584592403,3611496762
10635,35572298079,3605304112
10636,13253081572,3601204299
10637,4660873514,3589647342
10638,136431578,3586857454
10639,9164394905,3584999059
10640,19500233901,3583498162
10641,18577397843,3580654662
10642,1352726364,3579902344
10643,841369739935,3579557160
10644,7978966585,3570946088
10645,35105729557,3570140937
10646,15701026125,3570075812
10647,35565068589,3569897993
10648,19837193141,3569539746
10649,31719203063,3567927521
10650,7525461135,3566619686
10651,6280563289,3560450871
10652,20320738780,3554836837
10653,35503543387,3554060685
10654,12853888842,3553806045
10655,16257240755,3549851093
10656,13277692756,3548381085
10657,33909176494,3547375663
10658,9624002953,3543377871
10659,30085212634,3542484853
10660,58644558,3542239122
10661,24406831000,3540674347
10662,6248720833,3537989432
10663,21134296445,3536759126
10664,841369734412,3534319117
10665,20329145882,3532656035
10666,35133987397,3525531273
10667,26423274475,3523870608
10668,22706256959,3522212301
10669,31000417110,3521317140
10670,841369734237,3520357440
10671,18283127242,3514836060
10672,36789321639,3513414600
10673,841369747939,3512706839
10674,18286731368,3508359011
10675,4675031707,3506570309
10676,58565976,3500224086
10677,841369734152,3499726119
10678,19112120623,3493759837
10679,841369733196,3492739014
10680,10006603264,3492084767
10681,23940264536,3491325104
10682,3001330418,3487917442
10683,31000412679,3482622380
10684,5831565710,3479786244
10685,19111839766,3477177212
10686,4668064261,3470858865
10687,6322847592,3467534324
10688,841369753685,3465915210
10689,10783802417,3465897031
10690,841369735765,3464259643
10691,18658165818,3463182972
10692,841369734572,3461884899
10693,841369734151,3461028730
10694,18201704685,3460514153
10695,12404348272,3458334265
10696,7525885444,3457902912
10697,23133945237,3457117883
10698,34242410133,3456552077
10699,19423536598,3454930840
10700,2202241931,3453672576
10701,14491890459,3452980090
10702,9188843204,3452082787
10703,5074846953,3449649270
10704,15721818805,3448493625
10705,19906857420,3443852730
10706,26017437343,3435993687
10707,841369749490,3434807035
10708,841369742101,3433852176
10709,15733178179,3432421424
10710,28959101840,3427513577
10711,10473634473,3419512613
10712,841369735351,3416806165
10713,11223047023,3416577435
10714,13706554606,3412538138
10715,37935291557,3410009216
10716,841369733209,3409819957
10717,19529543632,3407731884
10718,841369733069,3407111749
10719,23112724183,3406449633
10720,23936962654,3400829334
10721,8724884647,3400228858
10722,35140635114,3398995962
10723,11940063015,3397589464
10724,22673668443,3395796249
10725,9599116582,3393213449
10726,3037378906,3392923854
10727,5894925821,3392570027
10728,30986578806,3391174382
10729,21453653751,3379142080
10730,841369751031,3371646493
10731,19929218482,3371041647
10732,6709304445,3369657381
10733,26020935620,3365937847
10734,841369751217,3360068139
10735,13667052993,3357361601
10736,4575772024,3354991763
10737,841369740085,3353893910
10738,19932671367,3353749235
10739,26504983440,3351898705
10740,841369736712,3350319293
10741,4678766871,3340629171
10742,5488109905,3339393822
10743,841369750180,3338052725
10744,34584366972,3336521983
10745,19936137167,3336234057
10746,14487765000,3334382473
10747,5916939835,3329852195
10748,19107409353,3326467960
10749,20731212700,3324157860
10750,5071072519,3322896242
10751,12450655942,3321424110
10752,25616670990,3319644732
10753,841369736601,3318792151
10754,841369751133,3317060716
10755,14463594443,3316626927
10756,16623969379,3312175500
10757,841369733318,3304710261
10758,7094104864,3303014861
10759,23929887080,3302824792
10760,12835733709,3302227438
10761,4225994118,3298314483
10762,11672707438,3293053948
10763,9175244689,3291223701
10764,22694979110,3287369416
10765,841369749606,3284744527
10766,17753148592,3284632099
10767,5895436629,3283728872
10768,15305561610,3283172896
10769,841369741958,3282790293
10770,6748217749,3281743258
10771,8768232262,3280198944
10772,20745366079,3278151365
10773,2205746483,3278124263
10774,5878029144,3277953182
10775,21043187620,3275854506
10776,14530881314,3275500494
10777,5060141673,3267670893
10778,18184850782,3267162869
10779,3853995916,3265103943
10780,841369734111,3260447348
10781,15715331413,3258902630
10782,9500614338,3257606598
10783,20367717761,3257330047
10784,841369736379,3256617871
10785,8785020340,3256244720
10786,20716988315,3252955615
10787,10741354122,3249278868
10788,36353030021,3238454492
10789,14902126888,3238416035
10790,6283974078,3234044743
10791,5007637587,3233635297
10792,15301397959,3233211096
10793,21549479005,3225281532
10794,16543662042,3223953937
10795,28149625771,3223852648
10796,5484622425,3222702122
10797,841369742439,3221657195
10798,841369751212,3221040346
10799,841369752445,3217394312
10800,841369742180,3217273273
10801,841369734177,3216537196
10802,25667097549,3214834022
10803,5449111303,3213751619
10804,7507963771,3211235242
10805,841369734426,3204647328
10806,841369738535,3204284323
10807,841369736300,3200144985
10808,2577183364,3199908550
10809,5396679907,3198421802
10810,841369734955,3195698727
10811,2202436961,3195698238
10812,841369750191,3193912400
10813,841369752506,3190694172
10814,20639865548,3188273460
10815,841369745512,3187839338
10816,25621110277,3186823885
10817,30505553765,3185452575
10818,2502734072,3183948844
10819,3758602236,3183926312
10820,841369753246,3181923772
10821,8363895161,3179760530
10822,22412334964,3179562433
10823,841369734402,3178572331
10824,19932756361,3177503304
10825,9920364912,3176356141
10826,841369735287,3174601783
10827,28568076355,3172662146
10828,841369749820,3172363473
10829,21449607138,3170870859
10830,15640533401,3169974584
10831,26035354690,3168402068
10832,841369752427,3168396859
10833,21888969534,3166374776
10834,841369750458,3164632758
10835,6298992729,3162781829
10836,157695719,3162703563
10837,841369737116,3162400129
10838,841369730085,3159248867
10839,5410317916,3158082712
10840,9500614826,3155604640
10841,7536539356,3155068802
10842,23993689490,3154425902
10843,10448133974,3153679323
10844,13278750379,3150498513
10845,18261930135,3145854959
10846,8746810761,3145640303
10847,39950863667,3144166287
10848,37557320001,3141446707
10849,37159275085,3140831178
10850,16567642875,3140021100
10851,5502732397,3136386562
10852,4664404555,3133963044
10853,17433989274,3131305471
10854,841369735686,3125704046
10855,12008698748,3125368770
10856,841369730235,3122124406
10857,6312864444,3119370822
10858,841369753044,3118354026
10859,841369753109,3116773373
10860,5488940691,3116584156
10861,19924699409,3114256169
10862,1713982176,3113684993
10863,12757312585,3108428598
10864,6702037704,3108296001
10865,51490890,3106756923
10866,841369733309,3104381577
10867,18166413321,3103998183
10868,6312441944,3102754418
10869,13610573441,3101448895
10870,5057111487,3101385770
10871,3857418323,3101159083
10872,55107036,3097406497
10873,7547270944,3097056256
10874,841369736514,3095880801
10875,18691268026,3095791002
10876,841369737225,3092602404
10877,841369738197,3089198031
10878,55185635,3088207137
10879,6341253581,3088155853
10880,10491204732,3087094011
10881,5898505175,3085043810
10882,7076618287,3082572094
10883,841369734671,3081295043
10884,35129230116,3080976899
10885,9624079483,3080741852
10886,25617383317,3077039498
10887,14459542331,3076288389
10888,139970833,3075119482
10889,841369737134,3074894848
10890,841369730058,3073969572
10891,17458956122,3070036624
10892,6726292314,3067711602
10893,37177079030,3062532235
10894,841369729891,3059996010
10895,5484622458,3058233694
10896,18987160180,3056249976
10897,841369738094,3054967201
10898,10734236831,3051248438
10899,10780936170,3049861431
10900,841369736755,3047540769
10901,841369737273,3046532963
10902,5488738786,3045447951
10903,6334240760,3042886337
10904,7897328358,3042116138
10905,9167423629,3041816276
10906,9994777546,3040500273
10907,841369735750,3038710353
10908,841369748993,3035051575
10909,13720742540,3030059237
10910,21598657559,3029252925
10911,19939674961,3028249703
10912,28503299812,3022224025
10913,13710132600,3021313219
10914,9977436207,3021262922
10915,58605298,3020591150
10916,24750326653,3017931116
10917,4660435211,3014262045
10918,841369736397,3014127825
10919,9998668995,3010635317
10920,5481589897,3008068086
10921,9631243007,3006777010
10922,841369733724,3006628221
10923,25231281499,3005634343
10924,17388942875,3005169215
10925,1777197100,3004706885
10926,841369733891,3003563943
10927,841369750125,3001742949
10928,7097848411,3000487316
10929,841369737713,2999447346
10930,14530767553,2999196309
10931,29731776822,2998289808
10932,11193801019,2993182361
10933,19924807571,2992836361
10934,841369733373,2992198577
10935,14077876746,2989447348
10936,841369750610,2989367158
10937,22702055451,2988274668
10938,9168050506,2986193301
10939,19500233385,2984614374
10940,2619903907,2980253127
10941,8742330431,2977155621
10942,841369733067,2976776770
10943,9563514580,2975984359
10944,841369744036,2974954412
10945,12425460596,2972568931
10946,7565270050,2972187684
10947,841369752456,2971536847
10948,5485161998,2970406048
10949,13221840014,2970245123
10950,841369730414,2970220408
10951,15754554880,2969457946
10952,14085150111,2968537645
10953,3765603231,2967837862
10954,10448601955,2966507915
10955,2549119462,2965240299
10956,34326598535,2965184028
10957,841369733461,2964280142
10958,20663794662,2963915105
10959,5088558573,2963111173
10960,35975613150,2962914049
10961,841369734265,2962873690
10962,3772949082,2961963358
10963,841369730388,2960499677
10964,21456876234,2959895891
10965,841369733319,2956621305
10966,18619371846,2954876369
10967,11643186062,2954041926
10968,2202436017,2953711450
10969,841369749072,2952490008
10970,5032230676,2947984623
10971,13645519008,2945467491
10972,841369734337,2945109345
10973,20225931823,2943990449
10974,14898114543,2940274299
10975,7097769788,2939163975
10976,841369735122,2938539511
10977,143509427,2935895521
10978,841369747195,2935812216
10979,21563755504,2934032103
10980,841369733952,2933881940
10981,10777516776,2933195990
10982,1363529682,2932057164
10983,16558208044,2931687454
10984,5916663227,2928522666
10985,1788111777,2928194420
10986,4250762899,2927808560
10987,19804531179,2927801666
10988,14505846761,2924194932
10989,9175043427,2922616948
10990,11218566586,2922030902
10991,9535137849,2918135916
10992,4165423532,2917535275
10993,5389489598,2908489126
10994,11216171415,2907815029
10995,12400576941,2907321686
10996,9545349496,2907142041
10997,14944540139,2906232788
10998,11583842300,2904961647
10999,10794221094,2903552761
11000,5506268275,2902483720
11001,15255769608,2901287292
11002,36799666065,2900958450
11003,6280561781,2900016893
11004,8747242479,2898780015
11005,841369737053,2897304983
11006,37142686404,2895238272
11007,2966428378,2894395603
11008,11598296963,2892530709
11009,9125680981,2892349969
11010,5067305232,2889849798
11011,36335260060,2888646561
11012,24347357667,2888549461
11013,34687746424,2885968035
11014,841369737301,2885563370
11015,19517991203,2884446569
11016,10854828276,2883074952
11017,21096166153,2880282081
11018,14951768246,2877981866
11019,4239985299,2877333356
11020,34739947940,2876394261
11021,3776566558,2876032881
11022,841369734873,2875412874
11023,33435341731,2875054339
11024,7928700603,2873604876
11025,19089868937,2873180632
11026,18998875385,2871607678
11027,15832818473,2868132327
11028,24814553129,2867368019
11029,19939595896,2866102760
11030,29325228833,2866100671
11031,40092678061,2864787938
11032,18984337180,2863576125
11033,37528349834,2863294194
11034,8761389711,2863041577
11035,11639883332,2862952780
11036,16929062393,2861301372
11037,841369742140,2860559310
11038,17840762252,2860447237
11039,13624800840,2860308294
11040,5502530559,2857772195
11041,154079561,2857558985
11042,2194890994,2855204198
11043,2584648102,2854159618
11044,5498874767,2852233801
11045,11655097162,2851256992
11046,10816269808,2851173490
11047,841369737703,2850487938
11048,14508594072,2850248440
11049,841369751362,2848910657
11050,37162612917,2847647039
11051,841369730023,2844420179
11052,6280510907,2841888255
11053,841369737012,2840839159
11054,17724687780,2840636353
11055,3443886107,2840271509
11056,5081732930,2840181676
11057,841369734532,2836872705
11058,841369754091,2834375524
11059,841369744145,2831968714
11060,3415574721,2831027951
11061,6319870073,2829592950
11062,24835614425,2828990854
11063,51530212,2828224437
11064,14890689799,2828147240
11065,5894814402,2827084776
11066,841369750197,2826351121
11067,841369734084,2826149736
11068,14915491101,2824454268
11069,34694895863,2822908529
11070,15754829986,2816201838
11071,13242319811,2815852641
11072,7126499965,2815114092
11073,3418845933,2814648960
11074,3037024404,2814188997
