body,boxed_size,full_size
43761691925,45873,45873
44168509376,45678,45678
43758078099,45555,45555
43347763542,45497,117898
43351300740,45473,52679
44172008726,45405,421533
44168507339,45402,45402
44168469173,45380,45380
43351340436,45333,45379
44172010361,45285,45285
44168469259,45266,45266
44168473346,45247,119093
44168468575,45230,45230
44172044608,45130,108309
43761689561,45121,45121
43754579218,45119,100480
44168472294,45080,135191
44172051519,45056,60893
44172047076,45026,45026
43761651721,44654,44654
44168469856,44652,44652
43758115741,44525,44525
44168507849,44523,44523
44172047653,44486,44486
37606844866,44374,1640137442
43758117462,44242,44242
43761689986,44104,44104
43758079942,43930,144942
43758154597,43840,56343
43761654390,43737,43737
43758113623,43713,43713
43754579515,43645,43645
44172011847,43592,51069
43758112434,43381,43381
44164934401,43308,43308
43761650871,43291,43291
43758075451,43278,43278
43761655435,43231,43231
44164973447,43200,50897
44164973688,43189,237159
43758156064,43053,43053
44172007479,43035,43035
43761653228,43030,43030
44172007198,42986,42986
43758156765,42956,42956
44164973525,42928,75693
44168513703,42924,288796
44168472855,42913,42913
43761689438,42754,471459
44168432982,42694,87077
44168471099,42630,42630
43761654365,42546,42546
43754659818,42515,982531
44168472860,42486,58799
43761612505,42380,47101
43761610730,42321,83122
43758153703,42300,42300
43758113713,42290,42290
43761653671,42209,42209
43761654687,42032,42032
44172005144,42015,42015
44164933776,42001,42001
43347803441,41960,41960
44168506882,41941,41941
43758114464,41937,41937
43761651985,41922,41922
43758079634,41744,41857
44168467992,41742,41742
44168468480,41689,41689
44168470742,41683,41683
43758156528,41577,41577
44172047094,41552,41552
44164931104,41494,41531
44172049896,41485,41485
40086585857,41385,520266913
43761652774,41375,41375
43758117031,41368,41368
44168469569,41333,41333
44168471761,41324,41324
44171965900,41270,41270
43758152445,41229,44214
43347802971,41186,46216
44168473513,41151,68236
43754577621,40887,42709
44172050538,40827,116030
43758117749,40691,40691
36361008072,40657,1228679624
43758155512,40607,40607
44168470223,40525,40525
43761654686,40488,40488
43758119920,40476,40476
43758114587,40467,40467
43761650877,40442,40442
43761654274,40424,67665
43351300829,40387,42708
44172006454,40386,40386
44168471267,40265,40265
43758113498,40191,40191
44164933481,40147,44139
44168514066,40118,93424
43761690542,40112,40112
43347722976,39874,76266
44164973384,39791,39791
44171968506,39786,39786
43761690286,39730,39730
44168473038,39670,40294
44168469058,39622,39622
43761691077,39564,39564
43347762420,39494,95436
43761694890,39381,39381
44172011317,39300,85402
43761614410,39071,39071
43754578759,39070,55050
44168473403,39055,109211
44168470957,39022,39022
43351300039,38925,128772
44172046617,38921,42247
43758074520,38909,183223
43761694251,38896,38896
44168511379,38876,38876
44172049922,38846,42486
43754540958,38668,38692
43758117601,38662,38662
43761613698,38568,38568
44168473154,38444,74860
44171969746,38412,45101
44172004751,38104,38104
43761612961,38082,153992
44168512117,37847,37847
43761650362,37801,37801
36357748421,37699,1882938743
43347801282,37633,73343
44172009638,37619,37619
44168510716,37582,37582
44172049538,37559,40511
44168470293,37528,37528
43347797776,37527,331425
44168469780,37472,37472
44168511513,37472,37472
43761694979,37433,37433
35551493734,37334,492969694
43761693941,37249,37249
43758112555,37197,37197
43758114141,37049,37049
43758079454,37018,37018
44172007033,36965,36965
44172006617,36855,36855
44172011320,36571,36571
43758112265,36555,36555
44171967312,36525,36525
43758151993,36515,44083
43754539147,36496,36971
44168470441,36455,36455
44164934746,36445,45323
43761654520,36421,36421
43758119464,36388,36388
43758118996,36347,36347
44172049083,36257,36257
43758117116,36174,36174
44172047560,36167,286156
43761689297,36138,49727
43758152757,36060,36060
44172004758,36031,36031
43754577803,35989,35989
43758113535,35977,35977
43347722748,35960,46689
43761693630,35953,42586
44168511181,35868,35868
44168510995,35700,40866
44168467618,35663,35663
43758156536,35578,35578
43761651394,35467,35467
43758113202,35400,35400
44171968620,35371,82566
43761690901,35355,35355
37995386033,35318,639654687
43758113497,35313,35313
44171969597,35284,95142
44164972957,35230,37837
43758115690,35083,35083
43761651130,35082,35082
44168471488,35080,35080
44168512511,35067,35067
43758114879,35048,35048
44164934400,35043,37392
44168512698,35028,35028
43351261889,34970,152276
43758154205,34951,34951
44172008309,34877,34877
43758113640,34868,34868
43758114880,34832,34832
43347802993,34765,38088
43761652866,34765,34765
43761656117,34605,34605
43761692914,34577,34577
44168507647,34448,34448
43761694739,34432,34432
43761694201,34427,34427
44172009945,34365,34365
43754540107,34299,34492
43761611112,34299,34299
43758112697,34288,34288
44168508105,34266,34266
43758157300,34242,34242
44172046570,34196,34196
44168472292,34177,34177
44168471240,34081,34081
43758112879,34017,34017
43754582243,33989,156341
44168506718,33741,33741
44168514306,33689,113438
44172010070,33686,33686
43758151970,33604,33604
43761654477,33515,33515
44171969628,33458,60385
44164934747,33351,33379
44168468067,33342,33342
43761693554,33231,70229
44164930974,33231,51117
43761651565,33211,110273
43758154792,33182,33182
43761612480,33148,42737
43761654869,33077,33077
44168432546,33037,33037
44172006188,33036,33036
44168471473,33010,33010
43758119036,32947,32947
44164973960,32899,32899
